customerId,products
200,1|25|25|122|268
201,25|25|20|20|20|100|100|100
202,79|79|8|241|79|48|8|48|241|8
203,2|2|2|44
204,252|252|252|0|0|118
206,20|181|181
207,2|2|33|33|33|227|20
208,143|210|15|231|18|211
209,182|182|43
210,213|178|289|289
211,190|49|172
212,110|110|11|11
213,13|2|73
214,263|11|11|11
215,239|281|291|165|165
216,146|17
217,17|146|210|297|195
219,29|297|2|2|23|107|107
220,133|101
221,20|20|17|17|11|11|11
223,151|151
225,168|148|119
226,169|169|169
227,41|41|25|68|68
228,68|88|44|68|64|78|68|261|261|88
229,259|25|227|275|33|206|191|275|25|199
230,215|259|259|118|118|118
231,20|20|56|56|193|193
232,286|44|44
233,143|23|107|145|191|268|268|268|2|2
234,33
235,272|264|172|73|26|26|237
236,214|21|2|2
237,107|107|107|227|297|172
240,97
241,2|1|33|33|33|2|216|20|15|47
242,23|23|213|2|2|107|107
243,144|86|41|41|39|12
244,203|9|143|143|143|63|205
245,44|44|29|29|29
246,71|50|175|9
247,23|23|20|33|11|11|111|29|29
248,163|163|135
249,134|110|110|181|8|8
250,213|2
251,2|279|279|47|33
252,234|234|234|111|43|33|20
253,20|70|70|70|116|116
254,23|23|23|234|234|20|20
255,36|36|8|122
256,273
257,208|249|249|249
258,2
259,78|78|168|168|116|184|208|18|18|18
260,106|44|1|102|102|12
261,2|20
263,66|66|81|16
265,2|21|33|33|33
266,12|273|2|2|21|1
267,91|91|48|2|25|8
268,170|13|20|118|83|118|9|20|192|148
269,236|236
270,143|143|30
271,198|99|236|191|237
272,15
273,13
274,29|29|29|11|11|11|198
275,20|25|213|213|213|2|172|43|43
276,12|186
277,70|150|73|60|116|73|266|102|60|116
278,12|289|289|289|23|23|64|64
279,134|97|15|273|115
280,47
282,25|25|281|2|2|12
283,211|118|118|289
284,121|121|121
285,24|77|77|13
286,102|102|102|287
287,50|258|133|158|195
288,269|247|259|275|145
289,44
290,49|196|190|38|48|196|8|61|48|49
291,201|201
295,1
296,193|193|41|41|41|17
297,60|133|31|166|268|268|289|289
298,11|46|1|57
300,96
301,1|102|2|2|2|167|115|48|79|199
302,6|6|6
303,146|97|224
304,156
305,110|110
306,1|267
307,228|9|9
308,21|297|47
310,170|283|283|78
311,95|91|91
312,61
314,193
315,297
316,25|172|66|124|168|224
317,47|11|23|29
318,29|2|2|214|214|23|23|11|11
319,215|134|195|148|170|170
321,2|20|20
322,29|23
323,16|16
325,57|20|71|25
326,238|260|260
328,49|12|250|175|51|49|44|190|250|66
329,20|20|287|287
330,269
331,102|102|2|2
332,146|33|111|142
334,183
335,2|109|118|26|224|114|118|109|118|143
337,97
338,29|29|107|107|33|23|23
339,13|298|33
341,36|44|44|44|2|11|11|11|194
342,160
343,68|68|252|252|252
344,20|20|214|214|214|33
345,58|58|58|15|15|15
346,212|26|26
348,66|272|39|283
349,213|160
350,4|84|13
352,39|2|21
353,2|2
357,32
358,142
359,2|2
360,2
361,2|167
362,33|135
365,127|127|127
366,199|199|227
368,11|11|11|23|23|107|20
369,107|250|23
370,33|29|29
372,143|20
374,46
375,298
376,208|231|71|71
378,47|263|263|20
379,2
380,289|37|37|37|175|175|118|118|118|214
382,13|43|282
384,166
385,50|23|23|76|275|20|198
386,106|206
387,17
388,84|193|193|213|2|2
390,11|11|11|23|23|23
392,79|8
393,47|236|236
394,111|33
395,20|2|2|2
397,152|41|41|234|234|20|20
399,213|9|2|77|282|100
400,107|107|23|23|11|11
401,46|177|177|20
402,33|2|2
403,192|192|192
405,20|2|2
407,2|2|228|97|91|91
409,195
411,124|91|91
412,233|2|94
413,190|185
414,236|148
415,50|50|9|9|9
417,88
419,29|29|29
420,91|91
422,2|2|51|51
426,2|2|2
427,94|145|287
429,33
431,21|43|43
434,160|160
436,261|47|29|23
440,11|23
442,44|33|2|44|44|25|2|261|48|8
443,77
444,243|243|243
445,246|246|154|154
446,186|186|33
447,33|2
448,268|15
449,26|268
450,182|182|182|58|58|58
451,110|2|159|18|57|250|264|234|110|18
452,213|213|213
453,175
454,20|32|32
455,234|234|234
456,120|33|263|263|2|2
457,134|44|20|181|179
458,20|20|20
459,214|20|20|20
460,184|184
461,107|36|298|25|79|25|23|8|107|48
462,175|266|265|265
463,128|15|88|88|88|229|229|76
464,23|29|11|217|33|12|23|263|11|23
465,284|53|53|77|33|2|47|246|246
466,264
467,44|44|110|106|201|61|273|2|110|2
468,57
469,97|229|229
470,66|124|60|60
473,23
474,201|50|125|125|9|259
476,195|162|2|15
477,47|20
480,15
482,2
483,11|11
484,25|168|168|130
485,133|133|133
486,77|148|181
487,2|2|45|213|1
489,44|44|44|133|133|133
490,11|11|11
492,44|44|184|184
493,181
494,2
495,17|17
496,3|3|3
498,29|29|29|106|106|11|11|11
499,111|61
500,29|29|20|20|23
501,144
502,17|214
503,20|20
504,264|79|7|231|265|283|192|55|194|211
505,157
506,44
507,111|150|287|70
508,110|110|25
509,279|279
510,33
511,259|21
513,195
515,2|2
516,111|290|64|209|9|9
518,230|230|230
519,206|67|102|251
520,134|107|29|23|148|170
522,190|190|49
523,279|40|234|49
524,2|2
525,26|45|9
526,33|33
529,32
530,182|182
531,166|166|286
532,234
533,57
534,239|239|239|2
535,102|213
537,2|2|8|8|36
538,135|257|9|231|214|214
539,44|111|50|182
540,13|20|20|20|76|199
541,247|247
542,209|41|41|41|68|68
543,99
544,48|279|102|186|220|261|48|213|186|186
545,111|20|20|165
546,2|2
547,213|213|213
549,25|25|297|236|236
550,230|230|230
551,282|33|33|33|140|293|213|111|111|111
553,13|42
554,9|9|199
555,263|211|191|268
556,287|160|160
558,224
559,256|20|21
562,33|20|20
563,82|154|154|154|173
565,234|234|286
566,273
567,145|145|257|191|191
568,24|24|88|29|29|213|23|260
569,33
570,23|23|29|29|107|107
572,236|236|62|199|23|23
573,166|15|15
575,296|2
577,11|11|11
578,172|172|172|20|20
579,20|2|177|177|177
580,2
582,297
583,23
584,11|11|2|2|107|107
585,41|41|33
588,111
589,23|16|107|29
590,23|23
591,241|146
592,49|190|190|2|227
593,2|163|163|163
594,2|181
597,135|135|41|41|41|2|2
598,70|135|12|12|66|66|62
599,49|49|190|190
600,224|33
601,241
602,2
606,33|33|250
608,118|118|33|33
610,236|176|13|146
614,62|116
615,162
616,181
617,111
619,173|173|82|82|82
620,143
624,230|230|230
626,57|45
627,182|182|182|9|9|9
628,29|29|11|11
629,97
631,59
632,2|63|1
635,163|163|163
636,20
639,133
640,24
641,111|111|111
644,82
646,213|213
649,25|214
650,256|3|3|3
652,20|241|118|118|15
653,2
654,55|86
656,13|2|2|259
658,70|201|198
659,2|8
660,109|109|2|55
661,43|12|107|107
662,2|2|2|9
664,86|166|250|122|58|234
666,265|25
667,33|33|33
670,89
672,236|236|36|67|48
673,209|209
674,236|236|25|150|29
675,13|136|136|43|43|152|29|29|29
676,25
677,23|29|2|2|239|170|264|44|11|23
678,162|114|44
679,23|23|29|29|114|114|11
680,118|118|287|236|236|41
682,111|44
684,236|12|17|236|94|37|9|37|9|159
685,107|29|11
686,158|158|6|6
687,281|127|287|127|127|172|281|135|281|44
688,195|20
690,68
691,25
692,55|121|121|114
693,240|240|240
694,259|2|2|214|43
695,236|236|236
697,2|12|263|263|263
698,23|179
699,25|20|49|190
700,230
701,13
702,1|29|29|146|23|23|23
703,102
704,286|36|79|8|8|88|23|38|107
705,281|281|89|20|20|259|199|12|12
706,47|2|2
707,234
708,33|33
709,195|61
710,107|23|29|11|33|33
711,2|33
712,2|2|40|198|18|18|109
713,2|211|264|2|15|33|135|2|20|33
714,152
715,26
717,2
720,290|2|2
721,263|165|165|30
722,161
723,71
724,268|40
726,26|6
730,26
731,61|1|60
733,44|44|44|9|9|195|297
734,15|2|2|2|263|263
735,20|120|102
737,70|188
739,20
740,17|20|20|20
741,149
743,247|247|20
744,198|183|183|183|9|9
745,51
747,169|29|252|23
748,196|17|17
749,23|23|107|107|40|50|20|20|29|29
750,23|134|134|29|29|210|12
752,13|13
753,2|2|254
755,26
757,89|49|49|49
758,227|47
759,9|9|9|50|50|50|26|26|26
761,20|20
762,250|250
763,298|15
766,111|50|50|33
767,173|173|173
768,2|23|29
769,41|41
770,2|231|198|198|198
771,33|33|33
773,96|143
774,286
775,58|58|58
776,217|214
777,143|195|134|134|134
778,9
780,21
781,156|156|156|40|40
783,78|60|216|25|93|93|229|229|229
784,21|111|23
786,39
787,159|159
788,213|213
791,11|11|2|2|23|23|107|107
792,243|37|37|37
793,78|33
796,136|192|257|97
797,11|11|29|29|23|23
798,79|79|287|36|2|2|8|62|62
799,230|230|230|280|280
800,143
801,2|2
803,61|62|233
804,51
805,107|29|33
806,102
807,51
809,20|236|236
810,1|43
811,213|33
812,136
813,107|109
815,20|33|33
818,182|128|9|77
819,48|36|36|2|8|175|61
820,13|9
821,213|213|118|118|54|54
822,263
823,79|229|229|36|36|38|8|48
824,182|12|12|12|9
825,61|61|263|263|263
826,25
827,17|17|287|15|111|111|111
829,184|184|11|184|107|23|29|215|23|23
830,15|278
831,286|115|187|187
832,124
833,236|36
834,71
836,150|25|192
838,29|29|23|23
839,2|70|20|21|41|41|41
841,110|110|2|2|21
842,217
844,78
845,213|213|172|111|111|196|196
847,225|225|190|2
848,76|17
849,73|40|159|11|11|11|12|55|55
850,20
851,20|2|76
852,199|146|146|297
853,23|23|2|168|175
854,2
856,263
857,20|130
858,36|120
859,2|2
860,12
862,145|211|11|11|2
864,264|23|23|261|36|29|29|33|33
865,200|200|33|33|33
866,1|59|43
868,28|268|25|287|287|247
870,29|23|107|107
871,25|25
872,48|1|44|106|61|78|229|229|2
874,250
875,182|182|182
877,23|29|184
879,9|287|11|11|44|7
882,216
885,107|29|29|23|149|36|8
886,107|107|1|109|23|23|29|29
888,102|2
889,60|234|229|61|289|96|167|2
891,111|111|111
892,20|20|20|23|11|11|11|12|102|102
893,94|230|230|230|134
894,29|107|23
895,36|15|34|34|34|120|120|110|110
897,29|29|11|11|246|246|246|284|284|284
898,152
899,33|33
900,231|133|44|273|273
901,234|224|34|34|34|28|28|28
902,218|218|259|208|208
903,220
905,2|247|20
906,29|29|23|23|107|107
908,112|220|183|183|17
912,9|9|9|282|282|282
913,4|4
914,67|138|138
915,102|102|198|138|138|133|186|186
918,66
919,280|233
920,198
923,110|110|12|243
924,182|182|182
925,17|282|282
929,162|162
930,2|29|29|29|11|11|239
932,156|156|20|43|188|67|140|220|17
934,36|36|48|48|8|8|38|38
936,12|213|213|213|280
937,2|2
939,279|187|47
940,2
941,4|47
942,29|29|29|2
943,23|23|29|29
944,273|195|180
945,133|44|44|88
947,181
948,220|220|263|50|50
949,236|236
950,25
951,191|191|2|2|145
952,299
954,64|236|236
955,17|17
958,109|192
959,114|11|11|2|2|67|224|224
960,68|68|78
962,2|27|181|181|181|148|148|148
963,286
964,109
966,124|33|44
967,23|55|29|210|107
968,15|263|109|279|279
970,87|20
971,26|26|26
972,2
973,241|111
974,213|213|293|145|145|77
975,15|15|15|23|23|23
976,26|26|227|227|177|177
977,61
978,250|43|11|11|11|29|13
979,33|195|2
985,282|282|282
986,135
987,76
989,11|11
991,23|23|29|29|107|107
992,216
994,179
995,23|23|23|107|107|107
997,183|183|183
998,43
999,20|20|43|43|43
1000,33|150
1003,2|11|11|11
1005,11|11|11
1006,154|154
1007,33
1008,2|2
1009,68|68|68
1010,109
1012,44|44
1013,37|37|37|20
1015,111|111|111|261|261|261
1016,11|11|11|2|2|23|23|23
1017,60
1021,92
1023,170|231
1024,33
1025,20
1026,20|20|20
1027,157|175|215
1028,260
1029,20|2
1030,26|26|26
1031,152|2
1033,217|217|217|17|201|44|166|1
1034,143|229|229|105
1035,299|139|139
1036,231|231|231
1037,157|282|128
1038,3|3|3|20|20
1039,154|154|154|182|182|182
1040,20|133|133|21|50
1041,163|230|230|230
1042,163|163|127|127|127|259
1043,110|110|110
1044,84|43
1045,297|183|183
1046,25
1047,66|263|33
1048,16|16
1049,54|213|213|20|20
1050,33|213
1051,249
1052,26|26|26|77|268|268|208|259|259|20
1053,215|47|20
1054,130|7|172|66|9|240|66|287|167|50
1056,86|20|18
1057,1|1|2|2|2|43|43|280
1059,267|160|160
1060,227
1061,277|220|33|84|43|2|2
1062,217|217|133
1063,20|20|234
1064,12
1065,280|280|213|213
1066,121|121|121|24
1067,2|94|21
1068,220|2
1069,143|143|162
1070,58|18|18|0|0
1073,11|11|89|89|89|269|107|20
1074,94|23|107|29
1075,162|29|29|102|219|33|37|91|37|102
1076,15
1077,165|165
1078,22
1079,142
1080,195|231|231
1081,289|289
1082,23|23|23|78|78|33|29|29|78|29
1083,115|115
1084,25|26|2|2|27|20|20
1085,11|11|25|20|23|175|29|29|107
1086,2
1087,105|286
1088,234|20|144|15
1089,175|172|209|29|20|23
1090,4
1091,230|2|111
1092,13|13|13|162|162|1|15
1093,120|263|263|2|2|33
1094,93|289|13|70|70
1095,2|2|234|112|70
1097,2|200|200|1|1|256
1100,15|78|261
1104,208
1105,133
1106,88
1108,1|38
1110,195|251|23|107
1112,23|23|23|11|11|11
1113,234|297
1115,114|224
1116,290|290|201|201|201|40|40|40
1117,2|2|94|36|192|8
1119,2
1132,23|11|11|29|107
1134,44|44|195|16
1135,251|100|20|20|20
1137,23|23|196|196|196|227|182|107|107
1138,253|253|253|20|20
1139,2
1140,267
1142,43|168|299
1145,11|11|11
1147,20|20|234|13
1150,287|44|44|44|135|157|157|20|20|20
1156,94|41|68
1159,118
1160,56|65
1162,107|107|29|29|29|44|44
1175,68|68
1177,162|162|198
1178,281|281|23|29|281|20|29|23|20|23
1179,66|66|144|242
1180,2|2
1201,282|282|282
1202,38|194|79|48
1203,47|210
1206,12|20|20
1227,21
1228,52
1229,32
1230,20|20|20
1252,61
1263,145
1264,234|2
1291,9|9|9
1308,81
2048,61|233|2
2049,20|20
3,196|196|196
2052,29|11|11|11|23|23
5,91|91
2057,48|150
2058,29
11,287|104|50|111|20
2060,234|234|234
2061,44|44|44
2064,52
2065,14
2066,213|213|213|13|77|43|43
2068,213
2069,20|111|111
22,199
29,259|209
2053,55|55|55
2080,76|76|76|94
2054,20|20
48,17|33
56,247|44|44
58,134|134|219
2108,23|23
2109,251
64,298
2059,52
69,38|20
76,61
2130,20
2062,2|2|225
2153,248|248|248|132
110,58
114,295|190|49|49
2175,145|195
137,257|181|43|181|43|13|170|43|181|148
2187,47
2206,236|236|236
162,97|109|13
165,61
168,81|12
2225,234|234|234
178,265
2227,12|20|20|287
181,8|8|194
182,12
191,174|174|174|91|91|91
195,97
201,44
203,174|174|174|259
219,297|11|11|295|2|66
2279,9|9
245,33|33|33
2308,154|154
265,225
278,7
279,7|7|23|23|20|20|20|159
296,77|100
338,23|23|23|29|29
344,216|14|14
350,6|40
361,14
371,208
2110,148
387,2|55
422,110|18|36|110|48|157|12|216|18|38
437,17
459,194|194|79|79|48|48|38|38
462,43|43|260|260
480,15
494,44
501,190|190|157|49|49
513,97
533,51|7
540,14|11|11|11|107
549,148|213|213|97|18|77|14
573,203
2247,44
617,231|11|23|107
618,78
619,2|122
646,135
665,24|24|11|11|11
682,196|196|196
689,184
704,265
710,280|211
711,1|231|231
713,9|133|107|34|135|20|107|34|170|9
716,15
2070,17
736,124|124
738,196|196|196
759,9|26|26|26|50
761,172
789,236
790,14|193|193
803,33|33|33
808,14|14|162|162|162|263
2186,20|20|20
831,264|264|187|187|187
880,49|190|190
899,143|14
911,236|236
918,251
921,77
927,21|166
934,49|190|166
953,20|20|20
957,11|196|196|25
962,109|109
968,88|88
970,277
979,44|33
998,208|43|196
1025,175
1027,82|82|82|15|241|124
1031,50
1037,215|15|15
1065,194|6|6|135|102|186
1068,194|194|20
1084,15|7|225
1101,67|67|46|46|46|164|286
1102,20|20|20
1109,219
1116,107|107|107
1120,15|146|15|9|96|24|21|263|182|146
1121,210|12
1122,91|225|20
1123,45|45
1124,115
1125,149|33|33|33|289|289|289|287|287
1126,12
1127,21
1128,140
1129,11|11|107|23|196|196|196|29|29
1130,29|11|14|14|23|20|0|0|0|56
1135,11|11|11
1152,170|233|17|94
1153,157|25|287|84|227|39|276|276
1162,157|14|114|8|0|21|36|0|8|15
1164,2
1167,77|13|13
1168,20|20
1169,114|11
1170,129|133
1171,266|2|256|145|145|145|146
1172,15
1173,151
1179,47
1183,216|43|99|166|84|87|87|87
1185,8|175|55|79|48|172|8|36|135|21
1186,299|20|146|52
1187,281|2|102|186|263|281|2|2|102|263
1188,263|259
1189,27|27|0
1190,76|156|92
1192,196|196
1193,192
1194,33|287|15|24|149
1195,94|29|29
1196,2|2
1197,29|29|11|11|287|107|23|96|14
1198,261|96|67|273|273
1199,23|14|124
1200,154|220
1207,11|163|29|107|102|44
1208,233|135
1209,39|39|12|12|66|66|181|181|181
1210,39|298|200|174|174|174|86|92|122|122
1211,212
1212,2|38|190|49|60
1213,290
1214,184|184|211|15|234|33|214|2|2|213
1215,24|49|49|49
1218,50|50|50
1219,2|29|29|11|82|107|110|110|110|47
1220,12|12|13|63|66|66
1221,208
1222,114|70|55|236
1223,23|174|29|15|11|11|263|136
1224,20|20|60
1226,25|179|97|61
1232,9|9
1233,40|38|38|36|79|79|79|8|8|8
1234,126
1235,77|180|180|180|94|192|213|213
1236,224|298
1237,156|26|194|200|8|48|177|177|79|38
1238,78|12|199
1239,281|127|163
1240,18|265|265|170|55|16|12|12
1241,23|23|23|234|234|234
1243,13|51|89|291
1244,33|170|170|170
1245,233|91|91
1246,14|227|146
1248,14|12|214|111|111
1254,107|191|21|23|23|23|20|186|111
1255,282|44|44|257
1257,265|15|191|191|20
1258,29|29|23|23|33|33|107|234
1259,11|11|20|104|14|107|107|23|23|234
1260,9|7|145
1261,21|94
1262,136|14|14|14|19
1265,156|156|156
1267,17
1268,135|77|77|164
1269,241|241|227|227
1270,200|200|9|9|9
1271,174|174
1272,21
1273,18|18|18|245|245|245
1274,20|257
1275,234|267
1276,196|127|127|127|142|50
1278,7|13
1279,20|23|23|23|94|215
1280,107|29|11|23
1282,195|23|11|11|11|29|2|107|70
1283,43|43
1284,125
1285,15
1287,134|148|283
1288,155
1289,48|52|115|8|14
1290,148|83
1294,44|1|150|172|261|36|20
1296,60|151|14|14
1297,220|26
1298,111|111
1299,231|231
1300,14|14
1301,50|50
1302,111|111|111|230
1303,33|234|44|107|29|44|234|234|29|107
1304,77|117|117|117
1305,241
1306,44|44|110
1307,265
1313,209
1314,106|36|36|36
1315,216|133
1316,25|2|239|239
1317,175|78
1318,233
1322,20|44|44
1323,172
1325,95
1326,151|82
1327,192|192
1328,40
1329,96
1331,214|214|48|25|8|8|263|227|88|88
1332,297|23|23|148|148|267
1334,14|33|111
1335,146|122|16
1337,268
1338,97|136
1339,6|6|107|109|23
1340,111
1341,11|29|179
1342,20
1345,263|263|21|273
1346,242|11|11|11|268|0|15|142|107|9
1347,234|20|20
1348,50|50
1350,4|70
1353,6|33|30|7
1354,107|107|11|134|134
1356,14|52|52|251
1357,12|14|23|23|115|111|111|29|29|268
1358,9
1359,66
1360,234|20|20
1363,299
1364,24
1366,20|254|76|250
1368,254|20|20
1369,14
1371,2
1372,29|29|151|151|157|122|122|122
1373,9|63|102|102|102
1374,14
1375,111|150|60
1376,21|8|38
1378,24|136
1379,111|111|111|21
1380,289|91|151|231
1381,28|40|73|145|20|20|14|14
1382,29|29|11|11|23|23
1383,15|236|236|236
1385,29|29|23|23|23|82|82
1386,63|2|7
1387,222
1388,29|215|23
1389,220|220
1390,241|241
1391,181|148|148|170|170|170
1392,11|11|107|29|29|23|192|192
1393,149|210
1394,29|29|29
1396,196|196|196|245|245|245|20|20
1397,33
1398,2|61
1399,15
1400,263
1401,241
1402,213|111|43
1403,11|195|29|23
1404,11|11|29|29|134|134|148|148|148
1405,39|109
1406,111|111|111|20|20|195|256|256|287|287
1407,88|264|264|23|23
1408,213|213|213|6
1410,156|64|39
1412,23|143|11|11|29|29|107
1415,174
1416,29|11|23
1417,20|287|67|9|9
1419,280
1420,9|45
1424,193
1426,61|100|14|14|14
1427,163|163
1428,24|24
1429,236|236
1431,15|143|168
1432,33
1434,38|38|36|36|8|8|79|79
1436,124
1437,109|268
1441,234|252|252|252|143|14
1442,33
1445,44|43|218|239|239|239
1447,111
1449,77
1451,25
1453,173|173|173|55
1454,14|14|9|257|287
1455,62|138|188
1456,4
1457,146
1458,20|20|20|135|17|88
1459,20|20
1460,62|62
1462,215|14|127|127|127|38|8|20|162|162
1463,231
1464,107|29
1466,201
1468,26|26
1469,46|46|164|164
1470,120|120|120|13|13
1471,148|219
1473,15
1474,12
1475,79|8|214|38|48|20|20|20
1476,29|107|11|20|11|14|14|20|29|14
1481,199
1483,119|53|53
1485,233|181|283|73
1486,234|234|234
1487,196|196|18|18
1488,25|135
1492,238|266|266|291|25|25
1493,157|297|156|56
1495,23|23|29|11|11|11|188|20
1496,110|110|160|160
1497,23|23|23|29|29|29
1498,277|277|277|246|246|246|284|284|284|33
1499,115|194|175|61|20|20|20
1501,154|154
1504,11|11|11|234|234|234
1505,26
1506,299|299
1507,6|6
1508,267|267|210
1509,44|44|44
1511,173
1513,217
1514,193|298
1516,241
1517,14|14|94
1518,6|6|87|87|128|128
1519,70
1523,195
1524,160|160
1525,183
1527,143|56
1530,222
1531,211|145|21|191
1533,20|11|23|107|29|84|20|29|11|23
1535,67|116|14|14|14|70
1536,127|163
1538,170
1539,17|23|11
1540,192|23|107|145|145|29|29
1542,46
1544,70
1545,16|16|44|44|60
1547,297|297|159|25|25|25|111|111
1550,199|195
1551,11|11|152|23|23|107|107|298|47
1552,118|118|118
1553,91
1556,211|73
1559,9
1562,24
1564,213|213|213
1565,182
1566,151
1569,259|157
1570,170|148|148|181|181|181
1571,2|2|2|33|263|263
1572,149|33|13|63|7|133
1573,136|115|111|111
1574,14|102
1575,133|196|196|13|13
1576,287|42|199|48|49|49|8|8|8|180
1578,29|29|29|111|11|11
1579,213|213
1580,183
1581,273|175|190|127|244|89|70
1584,20|164|199
1587,234|234|234|23|23|23
1589,107|107|29|29|23|23
1590,4
1591,117|117|117|7|196
1593,2|29|29|9|9|23|23|11|11
1597,109|107|23
1598,8|61|150|8|29|48|107|79|11|23
1600,78
1601,275|14
1602,14|2
1603,71|71|143|143
1604,61
1605,11|11|11
1608,94
1609,15
1610,20|20|2|2|47
1613,45|250
1614,111|111|111|283
1615,94
1616,196|196|196|13|43|43
1617,33
1618,151|151
1620,66|209|43|143|111|29|29|84|84
1623,182|283|283
1624,40|40
1625,281|138|163|3|3|151|25
1626,27|25
1627,40|83|26|26|33
1629,247
1630,154|154|7|7|24|24
1631,8|8
1634,179|173|109
1636,265|265
1638,11|11|11|231
1639,97
1642,17
1643,263|134|134|134|15
1644,286|286|94|268|86
1645,43|43|17|22|250|250|265
1648,292|20
1650,60
1651,100
1656,33|111
1658,44|33|33|107|107|23|44|234|44|23
1660,218|66|25|272
1661,2|167
1662,148|148|231
1663,21|33|33|199|61
1664,299
1667,184|184|25|160
1668,231
1670,218|218|218|111|111|111|280|280
1672,22
1673,91|91|61
1676,151|209|7
1677,25|21|227|143|135
1680,2|47
1682,175|132|132|132|213|213|248|248|248
1683,39|20|8|48|48|8|48|8|39|61
1686,29|11|11|11|23
1688,21|106|263
1689,33|33
1690,186|186
1691,13|13|13|9|76|76|76
1692,290|211|11|135
1697,94
1698,199
1699,158|65|65
1700,263|263|263
1701,159
1703,246|246|246|284|284|284
1704,8|94|111|15|190|2|49
1705,47
1706,23|23|11|11|11|107
1708,86
1712,236|29|11|11|236|29|14|11|236|14
1713,172|120
1714,107|23|11|11
1715,299
1716,174
1717,162|107|107|29|143|23|200|20|11|11
1718,12|287|287|28|287|234|76|28|133|89
1719,109|107|107|107|149
1720,0|0|0|102|102
1721,2|2|55|33|33|33|150|150
1722,120|120|120|20|20|20
1725,44|44
1726,267|20|50|9|47
1727,264|264|264|33
1728,24|149
1729,13|133|57|281|114|1|257|38|8|21
1730,9|9|9
1734,107|107|107
1737,20
1738,111
1739,2|29|29|23|23|11|11|195
1740,273
1741,227|213|213|213
1742,20|14
1743,133|111|43|23|23|107|33|43|23|29
1744,107|51|29|23|32|32
1745,11|11|23|23|23|82
1746,20|12|12|12
1747,2|2|91|21
1748,11|11|183|183|172
1749,33|33|33
1750,17
1751,2|2|18|18|18|229|229|229|36|36
1752,67|67|70
1753,20|229|14
